Date,country,avgtemp_c,maxtemp_c,mintemp_c,totalprecip_mm,avghumidity,maxwind_kph
2015-07-19,mexico,27.1,31.6,22.8,4.2,70.0,13.7
2015-07-20,india,26.9,29.0,25.6,10.8,87.0,17.3
2015-07-20,mexico,27.6,32.3,22.7,0.5,65.0,12.6
2015-07-21,india,26.6,28.5,25.8,10.5,88.0,17.6
2015-07-21,mexico,27.7,32.3,23.6,0.0,62.0,13.3
2015-07-22,india,26.8,28.0,25.8,10.9,87.0,17.6
2015-07-22,mexico,28.4,32.9,23.9,0.0,65.0,10.8
2015-07-23,india,26.6,27.9,25.6,15.1,87.0,18.4
2015-07-23,mexico,28.0,32.6,24.4,1.1,73.0,11.9
2015-07-24,india,26.4,27.5,25.5,32.9,88.0,17.3
2015-07-24,mexico,28.1,33.3,24.4,11.9,72.0,11.2
2015-07-25,india,26.4,28.4,25.2,14.4,88.0,15.8
